date,jour,semaine,temps_estime_min,type_tache,tour_id,culture,action,conditions_a_valider,decision_attendue,notes
2026-07-25,Samedi,7,30,Observation courte,Toutes tours,Toutes cultures,Recolte legere et ajout d'eau,"Niveau reservoir correct; feuilles pretes","Recolter au besoin","Travail fin de semaine optionnel"
2026-07-27,Lundi,8,75,Taille et pollinisation,T2/T3,Pois fruits,Tailler guider polliniser et verifier ombrage,"T3 lumineux; concombres non envahissants; courge sous controle","Retirer courge si elle ombrage tomates/concombres","Prioriser concombres Marketmore"
2026-07-31,Vendredi,8,60,Validation production,T1/T2/T3,Toutes cultures,Evaluer recoltes et besoins familiaux,"4-7 portions salade visees; pois en formation; fleurs fruits presentes","Ajuster prochaines reserves selon recolte","Consigner recoltes dans data/recoltes.csv"
2026-08-01,Samedi,8,30,Observation courte,Toutes tours,Toutes cultures,Recolte familiale et inspection rapide,"Feuilles recoltables; attaches stables","Recolter; ajouter eau si besoin","Travail fin de semaine optionnel"
2026-08-03,Lundi,9,75,Recolte et entretien,T1/T2/T3,Salades basilic pois fruits,Recolter regulierement et continuer pollinisation,"Nouveaux fruits; fleurs ouvertes; basilic a pincer","Pincer basilic; polliniser fruits","Retirer feuilles mortes"
2026-08-07,Vendredi,9,60,Mesures completes,T1/T2/T3,Toutes tours,Mesurer pH EC temperature humidite lumiere,"Conditions dans cible; chaleur sous controle","Ajuster ventilation et solution","Interieur: surveiller humidite excessive"
2026-08-08,Samedi,9,30,Observation courte,Toutes tours,Toutes cultures,Recolte legere et observation ravageurs,"Pas de pucerons ni moisissure","Isoler probleme si detecte","Travail fin de semaine optionnel"
2026-08-10,Lundi,10,75,Optimisation recolte,T1/T2/T3,Toutes cultures,Recolter guider tailler polliniser,"T3 pas trop dense; pois productifs","Retirer plants faibles et reutiliser port si utile","Ne pas ajouter de fruit tardif"
2026-08-14,Vendredi,10,60,Validation recoltes,T1/T2/T3,Toutes cultures,Comparer recoltes et consommation familiale,"Salades 4-7 portions; pois/concombres en hausse","Augmenter ou reduire succession salade au prochain cycle","Noter cultures favorites"
2026-08-15,Samedi,10,30,Observation courte,Toutes tours,Toutes cultures,Recolte et ajout d'eau,"Reservoirs stables","Ajouter eau; noter EC avant/apres si possible","Travail fin de semaine optionnel"
2026-08-17,Lundi,11,75,Entretien fin de cycle,T1/T2/T3,Toutes cultures,Taille recolte pollinisation et decisions de retrait,"Plants productifs; pas d'ombre excessive","Retirer courge ou concombre si improductif","Preparer notes pour cycle suivant"
2026-08-21,Vendredi,11,60,Mesures completes,T1/T2/T3,Toutes tours,Verifier pH EC temperature humidite lumiere et racines,"Conditions stables; racines saines","Ajuster seulement pour maintenir production","Eviter gros changements tardifs"
2026-08-22,Samedi,11,30,Observation courte,Toutes tours,Toutes cultures,Recolte familiale,"Recoltes disponibles","Recolter et consigner","Travail fin de semaine optionnel"
2026-08-24,Lundi,12,75,Bilan et recolte,T1/T2/T3,Toutes cultures,Recolter et noter performance par culture,"Quantite; appreciation famille; facilite; problemes","Classer retenir/reduire/exclure prochain cycle","Ne pas oublier basilic pois concombres piments"
2026-08-28,Vendredi,12,60,Bilan final,T1/T2/T3,Toutes cultures,Mesures finales et decisions cycle suivant,"Rendement familial; conditions; temps requis","Archiver plan et preparer prochain cycle","Fin du cycle guide de 12 semaines"
